	latitude	longitude	radius	station	records
364	41.7	-86.3167	5.0	SOUTH BEND ST JOSEPH	612
365	41.717	-4.85	5.0	VALLADOLID/VILLANUB	206
366	41.75	103.9667	5.0	PANG-TING-TO-TO-KAI	1057
367	41.7833	95.1333	5.0	XING-XING-XIA	122
368	42.0833	-91.6167	5.0	CEDAR RAPIDS ECHO SI	1310
369	42.4	-96.383	5.0	SIOUX CITY MUNI	9727
370	42.45	-2.333	5.0	LOGRONO/AGONCILLO	349
371	42.583	-5.65	5.0	LEON/VIRGEN DEL CAM	200
372	42.5833	-100.0	5.0	AINSWORTH AAF	1523
373	42.7	-68.3	5.0	ENVIRONM BUOY 44005	574
374	42.9167	-112.5333	5.0	POCATELLO	11754
375	42.95	-87.9	5.0	MILWAUKEE WI AIRPORT	11003
376	43.0	1.1	5.0	SAINT GIRONS	158
377	43.0667	-76.2667	5.0	SYRACUSE	12089
378	43.167	-86.25	5.0	MUSKEGON	10171
379	43.23	-75.4	5.0	ROME	8975
380	43.6	118.067	5.0	LINXI	3300
381	43.88	-69.93	5.0	BRUNSWICK	965
382	43.917	-0.5	5.0	MONT-DE-MARSAN	166
383	43.9333	-91.2833	5.0	LA CROSSE	9613
384	44.0	-41.0	5.0	OCEAN WEATHER SHIP D	9766
385	44.05	43.03	5.0	PJATIGORSK	230
386	44.117	-123.217	5.0	EUGENE/MAHLON SWEET	5856
387	44.2667	-71.3	5.0	MOUNT WASHINGTON	506
388	44.583	4.733	5.0	MONTELIMAR	189
389	44.62	33.53	5.0	SEWASTOPOL	723
390	44.7833	20.5333	5.0	BEOGRAD/SELENO BRD	8769
391	45.0	-16.0	5.0	OCEAN WEATHER SHIP K	2558
392	45.717	4.95	5.0	LYON-BRON	10582
393	45.8	-108.533	5.0	BILLINGS/LOGAN INT.	18423
394	45.867	1.183	5.0	LIMOGES	190
395	45.9667	-112.5	5.0	BUTTE	12098
396	46.18	45.35	5.0	YASHKUL	3336
397	46.22	122.05	5.0	ULANHOT	2278
398	46.374	-117.015	5.0	LEWISTON NEZ PERCE	432
399	46.5667	-87.4	5.0	MARQUETTE	8748
400	46.817	130.333	5.0	CHIAMUSSU	2815
401	46.833	-92.183	5.0	DULUTH INTL AIRPORT	8808
402	46.85	1.7167	5.0	CHATEAUROUX	5082
403	46.85	151.8667	5.0	SIMUSIR	4608
404	46.9	-96.8	5.0	FARGO/HECTOR FIELD	15380
405	46.917	-114.083	5.0	MISSOULA/JOHNSON-BE	15882
406	47.0	-15.0	5.0	WEATHERSHIP K CIRRUS	477
407	47.0333	-120.5167	5.0	ELLENSBURG	10146
408	47.15	-1.6	5.0	NANTES	256
409	47.1833	-119.3167	5.0	MOSES LAKE (LARSON AFB)	344
410	47.3	-54.0	5.0	ARGENTIA	11299
411	47.6667	-117.3333	5.0	SPOKANE (FELTS FIELD)	7917
412	47.8	3.55	5.0	AUXERRE	185
413	47.9	-122.2833	5.0	EVERETT (PAINE FIELD)	200
414	47.95	-97.4	5.0	GRAND FORKS AFB	517
415	48.02	7.83	5.0	FREIBURG	1516
416	48.07	5.03	5.0	CHAUMONT	4616
417	48.1333	-123.4167	5.0	PORT ANGELES	3357
418	48.354	11.786	5.0	MUNICH/RIEM	20686
419	48.3833	-124.7333	5.0	TATOOSH ISLAND WB	21960
420	48.55	-109.767	5.0	HAVRE (AMOS)	690
421	48.65	144.75	5.0	M. TERPENIYA (FL)	7763
422	48.7	-8.9167	5.0	ENVIRONM BUOY 62027	215
423	48.95	-97.25	5.0	PEMBINA	2575
424	49.067	20.25	5.0	POPRAD/TATRY	15541
425	49.3	4.033	5.0	REIMS	179
426	49.6	34.55	5.0	POLTAVA	634
427	50.0	-145.0	5.0	OCEAN WEATHER SHIP P	12221
428	50.1	14.2833	5.0	PRAHA/RUZYNE	8770
429	50.133	1.833	5.0	ABBEVILLE	116
430	50.28	-64.17	5.0	MINGAN	632
431	50.28	21.43	5.0	MIELEC	738
432	51.02	11.03	5.0	ERFURT	465
433	51.1333	71.3667	5.0	CELINOGRAD	167
434	51.1833	40.7	5.0	KAMENNAYA STEP NO2	6225
435	51.3833	179.25	5.0	AMCHITKA ISLAND	1908
436	51.733	6.267	5.0	KALKAR	3052
437	51.85	10.7667	5.0	WERNIGERODE	9806
438	51.9833	177.5667	5.0	KISKA ISLAND	308
439	52.05	29.25	5.0	MOZYR (AMOS)	6912
440	52.433	-114.917	5.0	ROCKY MTN HOUSE	1475
441	52.5	-20.0	5.0	OCEAN WEATHER SHIP J	2559
442	52.75	-35.5	5.0	OCEAN WEATHER SHIP C	13900
443	52.8	173.16	5.0	ATTU ISLAND	3463
444	53.05	158.33	5.0	NIKOLAEVKA	127
445	53.2	-70.9	5.0	NITCHEQUON	15444
446	53.38	-167.9	5.0	UMNAK ISLAND	2799
447	53.5333	7.8833	5.0	JEVER	872
448	53.6167	109.6333	5.0	BARGUZIN	6508
449	53.7333	87.1833	5.0	ABAGUR	181
450	53.833	-89.867	5.0	TROUT LAKE	15743
451	53.9	-166.53	5.0	DUTCH HARBOR	2953
452	54.2	16.1833	5.0	KOSZALIN	1537
453	54.62	-113.33	5.0	MEANOOK	101
454	54.6333	9.35	5.0	EGGEBECK	2824
